date,load,temperature,,
20/01/2019 0:00,1683.59,26,,
20/01/2019 1:00,1642.21,25.6,,
20/01/2019 2:00,1655.28,25.8,,
20/01/2019 3:00,1685.77,26.8,,
20/01/2019 4:00,1683.59,27.6,,
20/01/2019 5:00,1748.93,26.1,,
20/01/2019 6:00,1674.88,26.6,,
20/01/2019 7:00,1730.14,25.8,,
20/01/2019 8:00,1703.2,25.8,,
20/01/2019 9:00,1671.61,26.8,,
20/01/2019 10:00,1680.28,25.7,,
20/01/2019 11:00,1701.96,26.6,,
20/01/2019 12:00,1677.37,26.3,,
20/01/2019 13:00,1724.8,27.4,,
20/01/2019 14:00,1700.15,24.2,,
20/01/2019 15:00,1688.15,25.4,,
20/01/2019 16:00,1684.99,25.6,,
20/01/2019 17:00,1690.3,25.6,,
20/01/2019 18:00,1650.34,27.5,,
20/01/2019 19:00,1716.18,27.6,,
20/01/2019 20:00,1744.2,26.9,,
20/01/2019 21:00,1690.3,24.9,,
20/01/2019 22:00,1670.9,26.2,,
20/01/2019 23:00,1680.47,26.8,,
21/01/2019 0:00,1647.18,26.7,,
21/01/2019 1:00,1686.91,27.4,,
21/01/2019 2:00,1653.65,28.4,,
21/01/2019 3:00,1718.33,27,,
21/01/2019 4:00,1793.79,27.9,,
21/01/2019 5:00,1668.74,26.2,,
21/01/2019 6:00,1649.34,25.9,,
21/01/2019 7:00,1660.12,26,,
21/01/2019 8:00,1680.47,25.6,,
21/01/2019 9:00,1682.62,25.8,,
21/01/2019 10:00,1677.37,26.8,,
21/01/2019 11:00,1690.3,27.6,,
21/01/2019 12:00,1676.33,26.1,,
21/01/2019 13:00,1682.83,26.6,,
21/01/2019 14:00,1690.44,25.8,,
21/01/2019 15:00,1657.81,25.8,,
21/01/2019 16:00,1699.14,26.8,,
21/01/2019 17:00,1681.74,25.7,,
21/01/2019 18:00,1677.39,26.6,,
21/01/2019 19:00,1699.14,26.3,,
21/01/2019 20:00,1664.33,27.4,,
21/01/2019 21:00,1659.98,24.2,,
21/01/2019 22:00,1668.69,25.4,,
21/01/2019 23:00,1743.47,25.6,,
22/01/2019 0:00,1758.63,25.6,,
22/01/2019 1:00,1683.91,27.5,,
22/01/2019 2:00,1691.49,27.6,,
22/01/2019 3:00,1676.33,26.9,,
22/01/2019 4:00,1687.16,24.9,,
22/01/2019 5:00,1767.92,26.2,,
22/01/2019 6:00,1667.67,26.8,,
22/01/2019 7:00,1676.33,26.7,,
22/01/2019 8:00,1717.48,27.4,,
22/01/2019 9:00,1706.65,28.4,,
22/01/2019 10:00,1783.01,27,,
22/01/2019 11:00,1836.91,27.9,,
22/01/2019 12:00,1706.65,26.2,,
22/01/2019 13:00,1672,25.9,,
22/01/2019 14:00,1697.99,26,,
22/01/2019 15:00,1714.02,25.6,,
22/01/2019 16:00,1679.52,25.8,,
22/01/2019 17:00,1685.99,26.8,,
22/01/2019 18:00,1754.98,27.6,,
22/01/2019 19:00,1681.74,26.1,,
22/01/2019 20:00,1669.65,26.6,,
22/01/2019 21:00,1671.83,25.8,,
22/01/2019 22:00,1670.86,25.8,,
22/01/2019 23:00,1680.57,26.8,,
23/01/2019 0:00,1762.64,25.7,,
23/01/2019 1:00,1701.1,26.6,,
23/01/2019 2:00,1694.5,26.3,,
23/01/2019 3:00,1683.51,27.4,,
23/01/2019 4:00,1687.91,24.2,,
23/01/2019 5:00,1681.32,25.4,,
23/01/2019 6:00,1716.48,25.6,,
23/01/2019 7:00,1767.82,25.6,,
23/01/2019 8:00,1821.98,27.5,,
23/01/2019 9:00,1859.72,27.6,,
23/01/2019 10:00,1735,26.9,,
23/01/2019 11:00,1770.01,24.9,,
23/01/2019 12:00,1822.52,26.2,,
23/01/2019 13:00,1800.64,26.8,,
23/01/2019 14:00,1780.22,26.7,,
23/01/2019 15:00,1696.7,27.4,,
23/01/2019 16:00,1729.67,28.4,,
23/01/2019 17:00,1720.88,27,,
23/01/2019 18:00,1756.04,27.9,,
23/01/2019 19:00,1716.48,26.2,,
23/01/2019 20:00,1764.83,25.9,,
